show_id,country
s1,Brazil
s2,Mexico
s3,Singapore
s4,United States
s5,United States
s6,Turkey
s7,Egypt
s8,United States
s9,India
s10,India
s11,United States
s12,"Poland, United States"
s13,Mexico
s14,Thailand
s15,United States
s16,Nigeria
s17,
s18,"Norway, Iceland, United States"
s19,India
s20,United Kingdom
s21,India
s22,India
s23,India
s24,India
s25,Japan
s26,United States
s27,United States
s28,South Korea
s29,Italy
s30,United States
s31,Canada
s32,Indonesia
s33,Indonesia
s34,United States
s35,Canada
s36,United States
s37,Romania
s38,Romania
s39,
s40,Spain
s41,Turkey
s42,Iceland
s43,Turkey
s44,Nigeria
s45,United States
s46,Turkey
s47,United States
s48,United States
s49,"South Africa, Nigeria"
s50,France
s51,"United States, South Africa"
s52,South Korea
s53,Spain
s54,United States
s55,"Portugal, Spain"
s56,United States
s57,United States
s58,Indonesia
s59,United Kingdom
s60,India
s61,United States
s62,South Korea
s63,United States
s64,United States
s65,United States
s66,United States
s67,United States
s68,
s69,"Hong Kong, China, Singapore"
s70,United States
s71,United States
s72,"United States, Germany"
s73,United States
s74,Italy
s75,Spain
s76,United States
s77,United States
s78,France
s79,India
s80,United States
s81,Turkey
s82,South Korea
s83,United Kingdom
s84,United States
s85,United States
s86,United Kingdom
s87,India
s88,Canada
s89,United States
s90,"South Africa, China, United States"
s91,India
s92,South Korea
s93,Argentina
s94,United Kingdom
s95,United States
s96,South Korea
s97,"United States, France, Serbia"
s98,
s99,United States
s100,Indonesia
s101,India
s102,Canada
s103,Germany
s104,Egypt
s105,United States
s106,"Denmark, France, Poland"
s107,Poland
s108,Japan
s109,United States
s110,Kenya
s111,United States
s112,Italy
s113,Spain
s114,Canada
s115,Spain
s116,United States
s117,Nigeria
s118,
s119,United States
s120,Italy
s121,United States
s122,United States
s123,United States
s124,Indonesia
s125,Romania
s126,United States
s127,"New Zealand, United Kingdom"
s128,United States
s129,United States
s130,India
s131,United States
s132,United States
s133,India
s134,Spain
s135,United States
s136,Pakistan
s137,India
s138,Australia
s139,Australia
s140,"Australia, United States"
s141,Australia
s142,
s143,United States
s144,India
s145,Nigeria
s146,Australia
s147,"Mexico, United States"
s148,United States
s149,"United States, China"
s150,"China, Hong Kong"
s151,India
s152,United States
s153,Taiwan
s154,"United States, United Kingdom"
s155,United States
s156,United States
s157,Turkey
s158,Taiwan
s159,Canada
s160,United States
s161,United States
s162,United States
s163,"France, South Korea, Japan"
s164,"United States, Canada"
s165,United States
s166,"United Kingdom, United States"
s167,United States
s168,United States
s169,United States
s170,"Netherlands, Denmark, South Africa"
s171,"Canada, United States"
s172,United States
s173,India
s174,Denmark
s175,United States
s176,United States
s177,United States
s178,United States
s179,
s180,
s181,Taiwan
s182,United Kingdom
s183,United States
s184,United States
s185,United States
s186,Germany
s187,United States
s188,Hong Kong
s189,Taiwan
s190,"United States, China"
s191,United States
s192,South Korea
s193,"France, Netherlands, Singapore"
s194,United States
s195,Argentina
s196,United States
s197,United Kingdom
s198,United States
s199,China
s200,South Korea
s201,United States
s202,Philippines
s203,South Korea
s204,France
s205,
s206,"United Kingdom, Spain, United States"
s207,"United Arab Emirates, United States"
s208,United States
s209,Brazil
s210,United States
s211,United States
s212,Netherlands
s213,United Kingdom
s214,Germany
s215,United States
s216,United States
s217,"United Kingdom, Hong Kong"
s218,United States
s219,Brazil
s220,Spain
s221,Canada
s222,India
s223,Philippines
s224,United States
s225,"Iran, France"
s226,United States
s227,"United States, United Kingdom, France"
s228,"United Kingdom, France, Belgium, United States, China"
s229,Japan
s230,United States
s231,"Argentina, Brazil, France, Poland, Germany, Denmark"
s232,United States
s233,United States
s234,United States
s235,Taiwan
s236,Taiwan
s237,"Israel, United States"
s238,"United States, Mexico"
s239,United States
s240,Taiwan
s241,United States
s242,Taiwan
s243,
s244,Nigeria
s245,India
s246,"Uruguay, Argentina, Spain"
s247,"United States, Canada"
s248,United States
s249,France
s250,Philippines
s251,United States
s252,India
s253,United States
s254,Japan
s255,Canada
s256,United States
s257,United States
s258,"Singapore, France"
s259,United Kingdom
s260,United States
s261,Japan
s262,Canada
s263,United States
s264,Turkey
s265,India
s266,India
s267,India
s268,India
s269,India
s270,India
s271,India
s272,India
s273,India
s274,India
s275,India
s276,India
s277,"United States, Canada"
s278,India
s279,India
s280,India
s281,Egypt
s282,United States
s283,Pakistan
s284,India
s285,South Korea
s286,United States
s287,"United Kingdom, United States, France, Germany"
s288,United Kingdom
s289,United States
s290,United States
s291,South Korea
s292,Argentina
s293,Mexico
s294,Hong Kong
s295,China
s296,United States
s297,Canada
s298,"United States, United Kingdom"
s299,United States
s300,"Turkey, United States"
s301,India
s302,"Bulgaria, United States"
s303,Canada
s304,France
s305,Spain
s306,United States
s307,United States
s308,United States
s309,United States
s310,France
s311,United States
s312,India
s313,India
s314,"Australia, France"
s315,"Hong Kong, Iceland, United States"
s316,India
s317,United States
s318,"Canada, United States"
s319,United Arab Emirates
s320,United States
s321,Brazil
s322,United Kingdom
s323,Brazil
s324,United States
s325,United Kingdom
s326,United States
s327,United States
s328,United States
s329,"United States, Mexico"
s330,United States
s331,"United Kingdom, United States"
s332,United States
s333,"United States, Chile"
s334,Singapore
s335,United Kingdom
s336,United Kingdom
s337,
s338,Taiwan
s339,"Germany, France, Russia"
s340,"Mauritius, South Africa"
s341,India
s342,Japan
s343,Japan
s344,India
s345,Argentina
s346,India
s347,India
s348,United States
s349,Japan
s350,Japan
s351,United Kingdom
s352,"United States, Japan"
s353,United States
s354,India
s355,India
s356,India
s357,India
s358,United States
s359,India
s360,
s361,Japan
s362,India
s363,India
s364,Japan
s365,India
s366,
s367,
s368,Lebanon
s369,India
s370,
s371,Mexico
s372,Egypt
s373,United States
s374,India
s375,"United States, Bulgaria"
s376,Colombia
s377,Spain
s378,"Uruguay, Argentina"
s379,Mexico
s380,United States
s381,United States
